# stamp_est0 stamp_est1 stamp_gt0 stamp_gt1 trans_error rot_error trans_relative_pose_gt rot_relative_pose_gt
7127.289420 7127.326283 7127.290000 7127.330000 0.003456 0.002394 0.018694 0.010941
7127.326283 7127.363147 7127.330000 7127.360000 0.003706 0.001867 0.012896 0.006422
7127.363147 7127.400010 7127.360000 7127.400000 0.004277 0.001785 0.016272 0.008207
7127.400010 7127.436874 7127.400000 7127.440000 0.002402 0.003593 0.014578 0.003850
7128.579640 7128.616503 7128.580000 7128.620000 0.006472 0.003125 0.030860 0.014394
7128.616503 7128.653367 7128.620000 7128.650000 0.003643 0.005290 0.023744 0.014762
7128.653367 7128.690230 7128.650000 7128.690000 0.005402 0.002389 0.032080 0.011745
7128.690230 7128.727093 7128.690000 7128.730000 0.002693 0.003176 0.031664 0.009569
7128.727093 7128.763957 7128.730000 7128.760000 0.003493 0.005262 0.023032 0.015996
7128.763957 7128.800820 7128.760000 7128.800000 0.002335 0.003667 0.030606 0.010840
7128.800820 7128.837684 7128.800000 7128.840000 0.003101 0.001273 0.030607 0.005827
7128.837684 7128.874547 7128.840000 7128.870000 0.003889 0.001311 0.022697 0.009102
7128.874547 7128.911410 7128.870000 7128.910000 0.003155 0.000981 0.029678 0.004986
7128.911410 7128.948274 7128.910000 7128.950000 0.007566 0.002619 0.029620 0.003944
7128.948274 7128.985137 7128.950000 7128.990000 0.003944 0.000822 0.030092 0.002988
7128.985137 7129.022001 7128.990000 7129.020000 0.003648 0.001173 0.023014 0.004872
7129.022001 7129.058864 7129.020000 7129.060000 0.002737 0.001123 0.031341 0.004179
7129.058864 7129.095728 7129.060000 7129.100000 0.001101 0.001115 0.031880 0.003479
7129.095728 7129.132591 7129.100000 7129.130000 0.004432 0.001324 0.024264 0.005060
7129.132591 7129.169454 7129.130000 7129.170000 0.001614 0.001130 0.032981 0.011427
7129.169454 7129.206318 7129.170000 7129.210000 0.007699 0.002766 0.033757 0.012520
7129.206318 7129.243181 7129.210000 7129.240000 0.007938 0.002730 0.025740 0.010111
7129.243181 7129.280045 7129.240000 7129.280000 0.001109 0.001083 0.035100 0.016907
7129.280045 7129.316908 7129.280000 7129.320000 0.004670 0.001694 0.035939 0.025791
7129.316908 7129.353771 7129.320000 7129.350000 0.009315 0.005784 0.026486 0.015348
7129.353771 7129.390635 7129.350000 7129.390000 0.003434 0.002716 0.034982 0.019441
7129.390635 7129.427498 7129.390000 7129.430000 0.005253 0.001994 0.034908 0.021852
7129.427498 7129.464362 7129.430000 7129.460000 0.008365 0.004226 0.025839 0.016593
7129.464362 7129.501225 7129.460000 7129.500000 0.005383 0.002775 0.034071 0.018292
7129.501225 7129.538088 7129.500000 7129.540000 0.003570 0.000719 0.033236 0.014188
7129.538088 7129.574952 7129.540000 7129.570000 0.004936 0.004113 0.024142 0.007668
7129.574952 7129.611815 7129.570000 7129.610000 0.004386 0.001407 0.031256 0.007050
7129.611815 7129.648679 7129.610000 7129.650000 0.003475 0.001468 0.030404 0.010503
7129.648679 7129.685542 7129.650000 7129.690000 0.002185 0.002791 0.029680 0.013921
7129.685542 7129.722406 7129.690000 7129.720000 0.005573 0.003486 0.021759 0.011029
7129.722406 7129.759269 7129.720000 7129.760000 0.006581 0.002364 0.028415 0.011820
7129.759269 7129.796132 7129.760000 7129.800000 0.004723 0.003206 0.028433 0.009961
7130.091040 7130.127903 7130.110000 7130.130000 0.014636 0.005528 0.013664 0.004518
7130.127903 7130.164767 7130.130000 7130.160000 0.004931 0.002073 0.020503 0.009091
7130.164767 7130.201630 7130.160000 7130.200000 0.001683 0.000734 0.027327 0.016776
7130.201630 7130.238493 7130.200000 7130.240000 0.003333 0.002266 0.027717 0.019058
7130.238493 7130.275357 7130.240000 7130.280000 0.001162 0.000705 0.028719 0.016884
7130.275357 7130.312220 7130.280000 7130.310000 0.004311 0.003195 0.022321 0.011585
7130.312220 7130.349084 7130.310000 7130.350000 0.001074 0.002566 0.030347 0.014261
7130.349084 7130.385947 7130.350000 7130.390000 0.002837 0.001746 0.031180 0.012643
7130.385947 7130.422811 7130.390000 7130.420000 0.005320 0.001969 0.023917 0.007867
7130.422811 7130.459674 7130.420000 7130.460000 0.003137 0.002707 0.032095 0.006845
7130.680855 7130.717718 7130.680000 7130.720000 0.003240 0.000173 0.033499 0.001699
7130.717718 7130.754581 7130.720000 7130.750000 0.071184 0.034944 0.024305 0.004048
7130.754581 7130.791445 7130.750000 7130.790000 0.003250 0.001294 0.031317 0.012317
7130.791445 7130.828308 7130.790000 7130.830000 0.009922 0.007388 0.030788 0.012995
7130.828308 7130.865172 7130.830000 7130.870000 0.001501 0.003223 0.030795 0.007856
7130.865172 7130.902035 7130.870000 7130.900000 0.002287 0.002752 0.022768 0.007040
7130.902035 7130.938899 7130.900000 7130.940000 0.002292 0.001394 0.029983 0.009668
7130.938899 7130.975762 7130.940000 7130.980000 0.001687 0.001615 0.029768 0.007532
7131.160079 7131.196942 7131.180000 7131.200000 0.014737 0.002541 0.013324 0.003589
7131.196942 7131.233806 7131.200000 7131.230000 0.036640 0.023259 0.019907 0.003739
7131.233806 7131.270669 7131.230000 7131.270000 0.034071 0.019065 0.026932 0.005614
7131.270669 7131.307533 7131.270000 7131.310000 0.023472 0.014525 0.026740 0.011149
7131.307533 7131.344396 7131.310000 7131.340000 0.002235 0.002472 0.019912 0.011546
7131.344396 7131.381260 7131.340000 7131.380000 0.002763 0.002599 0.025652 0.012465
7131.381260 7131.418123 7131.380000 7131.420000 0.001578 0.001151 0.023995 0.002729
7131.418123 7131.454986 7131.420000 7131.450000 0.004694 0.001413 0.017884 0.001589
7131.454986 7131.491850 7131.450000 7131.490000 0.024682 0.015706 0.024006 0.001736
7131.491850 7131.528713 7131.490000 7131.530000 0.001798 0.001113 0.023908 0.002366
7131.528713 7131.565577 7131.530000 7131.570000 0.023019 0.012379 0.023606 0.007590
7131.565577 7131.602440 7131.570000 7131.600000 0.006741 0.002733 0.017512 0.005890
7131.602440 7131.639303 7131.600000 7131.640000 0.004623 0.002808 0.023854 0.009644
7131.639303 7131.676167 7131.640000 7131.680000 0.002208 0.002000 0.024660 0.011093
7131.676167 7131.713030 7131.680000 7131.710000 0.004038 0.002247 0.018559 0.006846
7131.713030 7131.749894 7131.710000 7131.750000 0.002116 0.001064 0.024902 0.010353
7131.749894 7131.786757 7131.750000 7131.790000 0.001629 0.000946 0.025220 0.012116
7131.786757 7131.823621 7131.790000 7131.820000 0.003213 0.001564 0.019036 0.009454
7131.823621 7131.860484 7131.820000 7131.860000 0.003125 0.001453 0.025293 0.013856
7131.860484 7131.897347 7131.860000 7131.900000 0.001211 0.003887 0.025662 0.019479
7131.897347 7131.934211 7131.900000 7131.930000 0.016362 0.008159 0.019244 0.015114
7131.934211 7131.971074 7131.930000 7131.970000 0.001333 0.003125 0.025027 0.013343
7131.971074 7132.007938 7131.970000 7132.010000 0.002902 0.002932 0.024571 0.013909
7132.007938 7132.044801 7132.010000 7132.040000 0.003888 0.003299 0.018174 0.012492
7132.044801 7132.081665 7132.040000 7132.080000 0.003097 0.002865 0.023666 0.014748
7132.081665 7132.118528 7132.080000 7132.120000 0.001606 0.002350 0.022535 0.012800
7132.118528 7132.155391 7132.120000 7132.160000 0.001729 0.001357 0.021136 0.014423
7132.155391 7132.192255 7132.160000 7132.190000 0.005757 0.008642 0.015562 0.011667
7132.192255 7132.229118 7132.190000 7132.230000 0.020503 0.022020 0.020767 0.016759
7132.229118 7132.265982 7132.230000 7132.270000 0.001921 0.002484 0.020042 0.021831
7132.265982 7132.302845 7132.270000 7132.300000 0.003872 0.004335 0.014146 0.014379
7132.302845 7132.339709 7132.300000 7132.340000 0.001615 0.001685 0.018726 0.016163
7132.339709 7132.376572 7132.340000 7132.380000 0.002626 0.001717 0.019299 0.014874
7132.376572 7132.413435 7132.380000 7132.410000 0.002489 0.002373 0.014553 0.010520
7132.413435 7132.450299 7132.410000 7132.450000 0.001297 0.001186 0.019662 0.013149
7132.450299 7132.487162 7132.450000 7132.490000 0.000681 0.000496 0.020145 0.010858
7132.487162 7132.524026 7132.490000 7132.520000 0.016574 0.012941 0.015523 0.006700
7132.524026 7132.560889 7132.520000 7132.560000 0.002215 0.001802 0.021430 0.012452
7132.560889 7132.597753 7132.560000 7132.600000 0.026488 0.029150 0.022112 0.010596
7132.597753 7132.634616 7132.600000 7132.630000 0.003333 0.003661 0.016659 0.006837
7132.634616 7132.671479 7132.630000 7132.670000 0.001422 0.001949 0.022373 0.012107
7132.671479 7132.708343 7132.670000 7132.710000 0.002554 0.001813 0.023772 0.015787
7132.708343 7132.745206 7132.710000 7132.750000 0.002499 0.002171 0.022638 0.009397
7132.745206 7132.782070 7132.750000 7132.780000 0.003548 0.001459 0.015978 0.002015
7132.782070 7132.818933 7132.780000 7132.820000 0.002691 0.001924 0.021218 0.003658
7132.892660 7132.929523 7132.910000 7132.930000 0.008789 0.005132 0.011038 0.004114
7132.929523 7132.966387 7132.930000 7132.970000 0.002219 0.000831 0.022328 0.006408
7132.966387 7133.003250 7132.970000 7133.000000 0.005350 0.003347 0.016791 0.004493
7133.003250 7133.040114 7133.000000 7133.040000 0.012088 0.008401 0.022475 0.006496
7133.040114 7133.076977 7133.040000 7133.080000 0.008515 0.007343 0.022524 0.006299
7133.076977 7133.113840 7133.080000 7133.110000 0.004692 0.001659 0.016894 0.004222
7133.113840 7133.150704 7133.110000 7133.150000 0.007026 0.003226 0.023144 0.006801
7133.150704 7133.187567 7133.150000 7133.190000 0.002657 0.001188 0.023515 0.008759
7133.187567 7133.224431 7133.190000 7133.220000 0.001827 0.002611 0.017678 0.008293
7133.224431 7133.261294 7133.220000 7133.260000 0.025458 0.019549 0.024155 0.012893
7133.261294 7133.298157 7133.260000 7133.300000 0.011794 0.009583 0.024156 0.013142
7133.298157 7133.335021 7133.300000 7133.340000 0.001659 0.000725 0.022708 0.014204
7133.335021 7133.371884 7133.340000 7133.370000 0.004977 0.005850 0.016484 0.012327
7133.371884 7133.408748 7133.370000 7133.400000 0.002213 0.001892 0.017803 0.015119
