# stamp_est0 stamp_est1 stamp_gt0 stamp_gt1 trans_error rot_error trans_relative_pose_gt rot_relative_pose_gt
1305031104.275546 1305031104.311219 1305031104.275900 1305031104.315800 0.005578 0.003073 0.014278 0.011230
1305031104.311219 1305031104.343342 1305031104.315800 1305031104.346000 0.006600 0.005271 0.009864 0.009236
1305031104.343342 1305031104.375837 1305031104.346000 1305031104.375800 0.003137 0.005197 0.009224 0.010089
1305031104.375837 1305031104.411509 1305031104.375800 1305031104.415800 0.003657 0.003503 0.012143 0.007729
1305031104.411509 1305031104.443288 1305031104.415800 1305031104.445800 0.006207 0.004952 0.008755 0.001333
1305031104.443288 1305031104.475456 1305031104.445800 1305031104.475800 0.002913 0.002216 0.008657 0.003498
1305031104.475456 1305031104.511329 1305031104.475800 1305031104.515800 0.004814 0.008912 0.011743 0.011456
1305031104.511329 1305031104.543368 1305031104.515800 1305031104.545800 0.003157 0.006121 0.009487 0.004354
1305031104.543368 1305031104.575343 1305031104.545800 1305031104.575800 0.008161 0.008493 0.009010 0.014024
1305031104.575343 1305031104.611336 1305031104.575800 1305031104.615900 0.010665 0.010804 0.013649 0.026136
1305031104.611336 1305031104.643243 1305031104.615900 1305031104.645800 0.003069 0.008486 0.010118 0.021240
1305031104.643243 1305031104.675525 1305031104.645800 1305031104.675900 0.003993 0.001401 0.009634 0.026105
1305031104.675525 1305031104.711277 1305031104.675900 1305031104.715800 0.004795 0.004185 0.012074 0.036498
1305031104.711277 1305031104.743280 1305031104.715800 1305031104.745800 0.003379 0.004947 0.008693 0.024583
1305031104.743280 1305031104.775327 1305031104.745800 1305031104.775800 0.005396 0.007370 0.007772 0.022731
1305031104.775327 1305031104.811465 1305031104.775800 1305031104.815800 0.007301 0.004900 0.008573 0.027444
1305031104.811465 1305031104.843258 1305031104.815800 1305031104.845800 0.007477 0.005940 0.004823 0.018058
1305031104.843258 1305031104.875350 1305031104.845800 1305031104.875800 0.008537 0.006854 0.003326 0.008831
1305031104.875350 1305031104.911534 1305031104.875800 1305031104.915800 0.003648 0.001875 0.002443 0.006957
1305031104.911534 1305031104.943262 1305031104.915800 1305031104.945800 0.002272 0.003378 0.002256 0.003026
1305031104.943262 1305031104.975202 1305031104.945800 1305031104.975900 0.006745 0.005492 0.003586 0.005983
1305031104.975202 1305031105.011290 1305031104.975900 1305031105.015800 0.002988 0.003423 0.007961 0.012193
1305031105.011290 1305031105.043373 1305031105.015800 1305031105.045800 0.002793 0.002396 0.007710 0.012087
1305031105.043373 1305031105.075320 1305031105.045800 1305031105.075800 0.002736 0.002272 0.008915 0.014020
1305031105.075320 1305031105.111299 1305031105.075800 1305031105.115800 0.005715 0.003795 0.013487 0.011074
1305031105.111299 1305031105.143106 1305031105.115800 1305031105.145800 0.010233 0.006325 0.011962 0.015610
