# stamp_est0 stamp_est1 stamp_gt0 stamp_gt1 trans_error rot_error trans_relative_pose_gt rot_relative_pose_gt
1305031104.011232 1305031104.043249 1305031104.015800 1305031104.045800 0.004777 0.007890 0.013648 0.011011
1305031104.043249 1305031104.075425 1305031104.045800 1305031104.075900 0.004161 0.006221 0.013191 0.009913
1305031104.075425 1305031104.111235 1305031104.075900 1305031104.115800 0.005453 0.006875 0.017146 0.017807
1305031104.111235 1305031104.143230 1305031104.115800 1305031104.145800 0.002967 0.005676 0.012454 0.013228
1305031104.143230 1305031104.175424 1305031104.145800 1305031104.175800 0.003221 0.005871 0.012450 0.006073
1305031104.175424 1305031104.211283 1305031104.175800 1305031104.215900 0.003673 0.004556 0.016391 0.012665
1305031104.211283 1305031104.243196 1305031104.215900 1305031104.245800 0.002018 0.001023 0.011581 0.010744
1305031104.243196 1305031104.275546 1305031104.245800 1305031104.275900 0.001953 0.002418 0.011166 0.008192
1305031104.275546 1305031104.311219 1305031104.275900 1305031104.315800 0.002291 0.002969 0.014278 0.011230
1305031104.311219 1305031104.343342 1305031104.315800 1305031104.346000 0.003303 0.004522 0.009864 0.009236
1305031104.343342 1305031104.375837 1305031104.346000 1305031104.375800 0.002563 0.004860 0.009224 0.010089
1305031104.375837 1305031104.411509 1305031104.375800 1305031104.415800 0.003211 0.003564 0.012143 0.007729
1305031104.411509 1305031104.443288 1305031104.415800 1305031104.445800 0.004725 0.003994 0.008755 0.001333
1305031104.443288 1305031104.475456 1305031104.445800 1305031104.475800 0.003352 0.002292 0.008657 0.003498
1305031104.475456 1305031104.511329 1305031104.475800 1305031104.515800 0.004902 0.008454 0.011743 0.011456
1305031104.511329 1305031104.543368 1305031104.515800 1305031104.545800 0.003699 0.006367 0.009487 0.004354
1305031104.543368 1305031104.575343 1305031104.545800 1305031104.575800 0.007142 0.007209 0.009010 0.014024
1305031104.575343 1305031104.611336 1305031104.575800 1305031104.615900 0.012072 0.011048 0.013649 0.026136
1305031104.611336 1305031104.643243 1305031104.615900 1305031104.645800 0.004776 0.011467 0.010118 0.021240
1305031104.643243 1305031104.675525 1305031104.645800 1305031104.675900 0.003922 0.001004 0.009634 0.026105
1305031104.675525 1305031104.711277 1305031104.675900 1305031104.715800 0.002211 0.005251 0.012074 0.036498
1305031104.711277 1305031104.743280 1305031104.715800 1305031104.745800 0.003535 0.006587 0.008693 0.024583
1305031104.743280 1305031104.775327 1305031104.745800 1305031104.775800 0.003177 0.006327 0.007772 0.022731
1305031104.775327 1305031104.811465 1305031104.775800 1305031104.815800 0.004735 0.003314 0.008573 0.027444
1305031104.811465 1305031104.843258 1305031104.815800 1305031104.845800 0.004880 0.004871 0.004823 0.018058
1305031104.843258 1305031104.875350 1305031104.845800 1305031104.875800 0.008708 0.007019 0.003326 0.008831
1305031104.875350 1305031104.911534 1305031104.875800 1305031104.915800 0.003528 0.001833 0.002443 0.006957
1305031104.911534 1305031104.943262 1305031104.915800 1305031104.945800 0.002449 0.002936 0.002256 0.003026
1305031104.943262 1305031104.975202 1305031104.945800 1305031104.975900 0.007399 0.006184 0.003586 0.005983
1305031104.975202 1305031105.011290 1305031104.975900 1305031105.015800 0.003084 0.002747 0.007961 0.012193
1305031105.011290 1305031105.043373 1305031105.015800 1305031105.045800 0.002001 0.002323 0.007710 0.012087
1305031105.043373 1305031105.075320 1305031105.045800 1305031105.075800 0.002556 0.001568 0.008915 0.014020
1305031105.075320 1305031105.111299 1305031105.075800 1305031105.115800 0.004741 0.004124 0.013487 0.011074
1305031105.111299 1305031105.143106 1305031105.115800 1305031105.145800 0.009475 0.004709 0.011962 0.015610
1305031105.143106 1305031105.175159 1305031105.145800 1305031105.175800 0.004142 0.003122 0.012730 0.029021
1305031105.175159 1305031105.211268 1305031105.175800 1305031105.215900 0.011911 0.015501 0.017595 0.017788
1305031105.211268 1305031105.243270 1305031105.215900 1305031105.245800 0.001529 0.004005 0.013474 0.017298
1305031105.243270 1305031105.275288 1305031105.245800 1305031105.275800 0.002230 0.004082 0.013812 0.029495
1305031105.275288 1305031105.311290 1305031105.275800 1305031105.315800 0.006447 0.000981 0.017174 0.027936
1305031105.311290 1305031105.343302 1305031105.315800 1305031105.345800 0.007915 0.006636 0.012564 0.017634
1305031105.343302 1305031105.375338 1305031105.345800 1305031105.375800 0.004871 0.007904 0.012268 0.007531
1305031105.375338 1305031105.411286 1305031105.375800 1305031105.415800 0.005311 0.006631 0.017021 0.019347
1305031105.411286 1305031105.443316 1305031105.415800 1305031105.445800 0.008283 0.006756 0.012279 0.012313
1305031105.443316 1305031105.475280 1305031105.445800 1305031105.476100 0.002468 0.002399 0.012182 0.008387
1305031105.475280 1305031105.511332 1305031105.476100 1305031105.515800 0.002727 0.005400 0.016281 0.015386
1305031105.511332 1305031105.543282 1305031105.515800 1305031105.545900 0.005333 0.006106 0.012449 0.005192
1305031105.543282 1305031105.575449 1305031105.545900 1305031105.575800 0.002468 0.002357 0.012375 0.007957
1305031105.575449 1305031105.611378 1305031105.575800 1305031105.615800 0.005675 0.004749 0.016554 0.005793
1305031105.611378 1305031105.643273 1305031105.615800 1305031105.645800 0.002425 0.004835 0.013092 0.006844
1305031105.643273 1305031105.711309 1305031105.645800 1305031105.715800 0.010698 0.012683 0.030162 0.008318
1305031105.711309 1305031105.743312 1305031105.715800 1305031105.745900 0.003890 0.005905 0.013537 0.006216
1305031105.743312 1305031105.775339 1305031105.745900 1305031105.775800 0.005086 0.006086 0.013294 0.009325
1305031105.775339 1305031105.811283 1305031105.775800 1305031105.815800 0.004457 0.002452 0.017876 0.010390
